epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6613,0.64398,1.057,5.37684,1.00343,1,0.57402,0.81722,0.73796,1,0.57402,0.81722,0.79281,0.43944,0.47583,3.99291,0.74451,4e-05,4e-05,4e-05
2,11.6785,0.61809,1.05249,4.94909,0.98471,0.56958,1,0.845,0.76296,0.56958,1,0.845,0.82003,0.44643,0.49136,3.96507,0.74883,9.9001e-05,9.9001e-05,9.9001e-05
3,12.7214,0.69546,1.34001,5.21597,1.06193,0.63875,0.8,0.70611,0.70611,0.63875,0.8,0.70611,0.70611,0.21132,0.31648,4.40138,0.72163,0.000156803,0.000156803,0.000156803
4,13.8484,0.40979,0.55648,2.28686,0.88227,0.9843,1,0.995,0.94704,0.9843,1,0.995,0.995,0.37028,0.34091,4.37674,0.76367,0.000213407,0.000213407,0.000213407
5,15.0244,0.46222,0.43599,1.66995,0.85886,0.96938,0.8,0.79768,0.70673,0.96938,0.8,0.79768,0.77125,0.74274,1.08519,3.38365,0.88537,0.000268811,0.000268811,0.000268811
6,16.126,0.52411,0.52522,1.74971,0.93171,1,1,0.995,0.90528,1,1,0.995,0.97503,0.31583,0.90239,3.7622,0.71948,0.000323017,0.000323017,0.000323017
7,17.2311,0.48863,0.46013,1.3224,0.87373,0.96895,1,0.995,0.91329,0.96895,1,0.995,0.96703,0.40006,0.28934,2.78351,0.75611,0.000376024,0.000376024,0.000376024
8,18.2976,0.46559,0.42159,1.13123,0.86705,0.98096,1,0.995,0.81493,0.98096,1,0.995,0.97503,0.59856,0.4574,2.86621,0.85207,0.000427832,0.000427832,0.000427832
9,19.3698,0.50738,0.41649,1.06623,0.90622,0.99059,1,0.995,0.90203,0.99059,1,0.995,0.93124,0.48304,0.52353,2.20675,0.80799,0.000478442,0.000478442,0.000478442
10,20.4425,0.49748,0.48002,0.91799,0.91599,0.98804,1,0.995,0.86453,0.98804,1,0.995,0.93387,0.45992,0.46984,1.88025,0.83389,0.000527852,0.000527852,0.000527852
11,21.5147,0.49939,0.34311,0.82443,0.84459,0.82267,1,0.92833,0.85329,0.82267,1,0.92833,0.90836,0.45212,0.52483,1.8222,0.75697,0.000576064,0.000576064,0.000576064
12,22.5947,0.48696,0.3461,0.78003,0.86476,1,0.75225,0.86167,0.78528,1,0.75225,0.86167,0.85503,0.42409,0.5079,2.59616,0.81943,0.000623077,0.000623077,0.000623077
